no.,name,vin,,
,Dodge,Vin No.,,
1,,2C3CDZDJ1FH821903,,
2,,2C3CDZAT9FH804692,,
3,,2C3CDZAT9FH710697,,
4,,2C3CDZBGXFH798077,,
5,,2C3CDZDJ6FH715592,,
6,,2C3CDZAT5FH758455,,
7,,2C3CDZAT6FH747321,,
8,,2C3CDZAG2FH782506,,
9,,2C3CDZFJ2GH125369,,
10,,2C3CDZBT7GH113242,,
11,,2C3CDZFJ7GH101603,,
12,,2C3CDZFJ7GH142846,,
13,,2C3CDZFJXGH309751,,
14,,2C3CDZAG3GH312020,,
15,,2C3CDZFJ4GH177165,,
16,,2C3CDZBTXGH213318,,
17,,2C3CDZC92GH200260,,
18,,2C3CDZC9XGH166004,,
19,,2C3CDZC93GH336039,,
20,,2C3CDZAG1GH330032,,
,Jeep,Vin No.,,
1,,1C4BJWFG2FL628713,,
2,,1C4BJWDG4FL711191,,
3,,1C4AJWAG6FL721561,,
4,,1C4BJWEG5FL708265,,
5,,1C4AJWAG8FL770132,,
6,,1C4HJWFG3FL770272,,
7,,1C4AJWAG8FL571906,,
8,,1C4BJWFG2FL611393,,
9,,1C4BJWDG5FL709756,,
10,,1C4BJWDG5FL554206,,
11,,1C4AJWAG1FL505116,,
12,,1C4BJWFG9FL694790,,
13,,1C4AJWAG4FL540622,,
14,,1C4BJWDG4FL613147,,
15,,1C4BJWFG9FL694790,,
16,,1C4AJWAG9FL617422,,
17,,1C4HJWFG6FL502168,,
18,,1C4BJWEG5FL718374,,
19,,1C4AJWAG8GL263765,,
20,,1C4HJWEG5FL537477,,
,,,,
,FIAT,,,
1,,ZFBCFXBT0GP332172,,
2,,3C3CFFARXFT753949,,
3,,3C3CFFFH6FT662595,,
4,,3C3CFFFH0FT597484,,
5,,3C3CFFARXFT558725,,
6,,3C3CFFAR5FT755799,,
7,,3C3CFFGE4FT581714,,
8,,3C3CFFAR7FT512883,,
9,,ZFBCFACH7FZ035659,,
10,,3C3CFFFH5FT504006,,
11,,ZFBCFADH5FZ032533,,
12,,3C3CFFAR3FT623933,,
13,,3C3CFFCR7FT570666,,
14,,3C3CFFFH4FT508337,,
15,,3C3CFFAR7FT733240,,
16,,ZFBCFACHXFZ033162,,
17,,3C3CFFER3DT718502,,
18,,3C3CFFFH7FT545446,,
19,,3C3CFFBR6GT177129,,
20,,3C3CFFKR1GT191035,,
,,,,
,FORD,,,
1,,1FTEW1E87FFA16758,,
2,,1FTEW1EG1FFB96746,,
3,,1FTEW1EG7FKD42168,,
4,,1FTEW1EF7FFC18417,,
5,,1FTEW1CG0FKD24730,,
6,,1FTER4FH1KLA46650,,
7,,1FT7W2BT8FEA91627,,
8,,1FTEW1E82FFB40260,,
9,,1FA6P8CF1F5382027,,
10,,1FTEW1EF2GKE06075,,
11,,1FT7W2B68FED14971,,
12,,2FMPK4J83JBB66982,,
13,,1FTFW1E53MKD27974,,
14,,1FTEW1CP0LKD49364,,
15,,1FTEW1EG9GFD54140,,
16,,1FTEW1EG9HFA66586,,
17,,1FTFW1E84MKD21482,,
18,,1FTEW1EFXGFD34888,,
19,,1FTEW1EP5GKD49623,,
20,,1FTFW1E42LFA74418,,
,,,,
,Nissan,,,
1,,1N4AL3AP2FN307129,,
2,,1N4AL3AP2FC260308,,
3,,1N4AL3AP1FC271445,,
4,,1N4AL3AP9FN863390,,
5,,1N4AL3AP5FN356907,,
6,,1N4BL3AP3FC173392,,
7,,1N4AL3AP3HC207216,,
8,,1N4AL3AP4FC190522,,
9,,1N4BL4DV5NN328236,,
10,,1N4AL3AP1FC430867,,
11,,1N6AA1ED3NN100166,,
12,,5N1AT2MT4FC764609,,
13,,JN8AS5MV8FW261694,,
14,,5N1AT2MV2FC819558,,
15,,JN8AS5MV5FW752465,,
16,,JN8AS5MT2FW165557,,
17,,5N1AT2MT2FC888877,,
18,,KNMAT2MT7FP522653,,
19,,JN1BJ1BV3MW315854,,
20,,KNMAT2MV7FP556450,,
,,,,
,Lincoln,,,
1,,3LN6L5KU8JR627931,,
2,,3LN6L2G90FR603455,,
3,,3LN6L2G9XFR606489,,
4,,3LN6L2G92FR617017,,
5,,1LNHL9EK4FG604977,,
6,,3LN6L2JK9FR614840,,
7,,3LN6L2G95FR609476,,
8,,3LN6L2GK6FR613099,,
9,,3LN6L2G98FR617152,,
10,,3LN6L2J90FR616604,,
11,,3LN6L5E93JR602491,,
12,,3LN6L2JK9FR616314,,
13,,3LN6L2JK1FR617277,,
14,,3LN6L2LU3GR629074,,
15,,3LN6L2JK1GR633125,,
16,,3LN6L2GK0GR614931,,
17,,3LN6L5F90HR636137,,
18,,2LMPJ8LR4JBL31975,,
19,,3LN6L5F99HR622494,,
20,,3LN6L5E95HR622509,,
,,,,
,Hyundai,,,
1,,5NPE34ABXFH160869,,
2,,5NPE24AF8FH130324,,
3,,5NPE24AF4FH058294,,
4,,5NPE24AA2FH132171,,
5,,5NPE24AF8FH153425,,
6,,5NPE34AF1FH243576,,
7,,5NPE24AF5FH203407,,
8,,5NPEK4JC7NH146986,,
9,,KMHL54JJ8NA040434 ,,
10,,5NPEH4J23NH150054,,
11,,5NPE24AF5GH357715,,
12,,5NPE34AF4GH287220,,
13,,5NPE24AF3GH416826,,
14,,KMHE24L10GA038145,,
15,,5NPE24AF4GH436129,,
16,,5NPE34AF5GH427663,,
17,,5NPE34AF8GH421484,,
18,,5NPE24AF2GH423220 ,,
19,,5NPE24AF7GH416912,,
20,,5NPE34AB9HH542488,,
,,,,
,Mitsubishi,,,
1,,JA4AD3A35FZ002828,,
2,,4A4AR4AU0FE037945,,
3,,JA4JZ4AX0FZ012628,,
4,,JA4AD3A33FZ001709,,
5,,JA4AZ3A37HZ015536,,
6,,JA4AZ3A32FZ010970,,
7,,4A4AP4AU7FE023109,,
8,,4A4AR4AU3FE025546,,
9,,4A4AR4AU2FE005188,,
10,,4A4AR3AW2FE050689,,
11,,4A4AP4AU5FE009144,,
12,,JA4AZ3A32FZ007471,,
13,,4A4AR3AU2FE060539,,
14,,4A4AR3AW7FE062014,,
15,,JA4JZ4AX8FZ006026,,
16,,JA4AZ3A31FZ008479,,
17,,4A4AR3AU3FE051901,,
18,,4A4AR4AU6FE041109,,
19,,4A4AR3AU4FE030104,,
20,,4A4AP3AW2FE046356,,
,,,,
,Toyota,,,
1,,4T3B6RFV8MU035319,,
2,,JTMRWRFV7LJ048851,,
3,,4T3E6RFV8MU033325,,
4,,2T3E6RFV6MW027068,,
5,,4T3B6RFV7MU053987,,
6,,4T3LWRFV4MU045138,,
7,,4T3RWRFV5MU046678,,
8,,2T3W1RFV8MC095618,,
9,,2T3P1RFV9MC243067,,
10,,2T3K1RFV5NC182554,,
11,,2T3F1RFV5NC259800,,
12,,2T3G1RFV7MC151231,,
13,,4T3LWRFVXMU039098,,
14,,2T3G1RFV8MC174260,,
15,,5TDGZRBHXMS072452,,
16,,4T3B6RFVXMU024516,,
17,,2T3H1RFV3MW109402,,
18,,4T3T6RFV4NU070316,,
19,,2T3W1RFV8MW135579,,
20,,2T3E6RFV0NW031067,,
,,,,
,Subaru,,,
1,,JF2SKACC5KH460954,,
2,,JF2SKAEC8KH567073,,
3,,JF2SKAGC1KH425595,,
4,,JF2SKACC4KH576114,,
5,,JF2SKAGC1KH455695,,
6,,JF2SKAPC9KH591329 ,,
7,,JF2SKASC7KH402152,,
8,,JF2SKAGCXKH512346,,
9,,JF2SKAGC3KH441667,,
10,,JF2SKAGCXKH512346,,
11,,JF2SKASC6KH427222,,
12,,JF2SKAWC7KH542535,,
13,,JF2SKAUC1KH537530,,
14,,JF2SKAPC9KH435517,,
15,,JF2SKAGC2KH478967,,
16,,JF2SKACC6KH449445,,
17,,JF2SKAKC7KH521660 ,,
18,,JF2SKASCXKH437980,,
19,,JF2SKAEC0KH456601,,
20,,JF2SKACC5KH426450,,
,,,,
,Volvo,,,
1,,YV4162UK3M2546390,,
2,,YV4ED3UR1M2450283,,
3,,YV4162UM8M2567253,,
4,,YV4162UM8M2443015,,
5,,YV4AC2HK2M2486718,,
6,,YV4A221L9M1684465,,
7,,YV4A22NL4M1140806,,
8,,YV4AC2HM2M2475493,,
9,,YV4162UK2M2557655,,
10,,YV4ED3UR0M2455104,,
11,,YV4162UL7M2441750,,
12,,YV4162UK1K2057404,,
13,,YV4162UM2M2483848,,
14,,YV4102DK5M1856306,,
15,,YV4102DL2M1855297,,
16,,7JR102TZ3MG122814,,
17,,YV4A22RK1M1765021,,
18,,7JR102TZ3MG122814,,
19,,YV4A22RK9M1710493,,
20,,YV4162UK8M2460668,,
,,,,
,Alfa Romeo,,,
1,,ZARFAMBN4M7640335 ,,
2,,ZASPAKBNXL7C75569,,
3,,ZARFANBN5L7634645,,
4,,ZARFANBN6M7644232,,
5,,ZASPAKBN6M7D16927,,
6,,ZASPAKEV0M7D19351,,
7,,ZARFANBN8M7643910,,
8,,ZARFANAN2M7639532,,
9,,ZASPAJAN0M7D12691,,
10,,ZASPAKBN9N7D30578,,
11,,ZASPAKBNXM7D03873,,
12,,ZARFAMBN7M7640488,,
13,,ZASPAKBNXN7D36809,,
14,,ZASPAKAN0M7D17153,,
15,,ZARFANBN0M7646638,,
16,,ZASPAJAN5M7D00228,,
17,,ZARFANAN4M7644389,,
18,,ZASPAKBN1M7D10999,,
19,,ZARFAMBN7M7644170,,
20,,ZASPAKBN9M7D20180,,
,,,,
,KIA,,,
1,,5XYRK4LF5MG044861,,
2,,5XXG64J25MG008197,,
3,,KNDCC3LC6M5466083,,
4,,3KPA24AD2ME365624,,
5,,KNDERCAA7M7074758,,
6,,KNDJ23AU3M7740348,,
7,,3KPA24AD7LE346291,,
8,,5XYRL4LC9MG020596,,
9,,KNDEUCA25M7151280,,
10,,KNAE15LA2M6089719,,
11,,5XXG14J25MG005203,,
12,,KNDEPCAA7M7045332,,
13,,KNDPN3ACXM7872211,,
14,,KNDEU2AA6N7302761,,
15,,KNDERCAA5M7072314,,
16,,KNDPM3AC9M7870341,,
17,,KNDJ23AU3M7739801,,
18,,5XYPKDA59HG246321,,
19,,5XXG14J20NG088914,,
20,,KNDCC3LGXM5103014,,
,,,,
,Chevrolet / GMC / Cadillac,,,
,,,,
1,,1GCPYCEF1MZ241914,,
2,,3GCPYCEL3MG179471,,
3,,3GCUYEED2MG444923,,
4,,3GCNYAEK5MG357741,,
5,,1GCPYFEL5MZ244631,,
6,,3GCUYEED0MG367162,,
7,,1GCPYFED1MZ244084,,
8,,1GCRTEEN8M1293498,,
9,,1GC4YREYXMF193936,,
10,,1GCGSCEN6M1290761,,
11,,1GCPWBEK3MZ352848,,
12,,1GCUYDED8MZ275890,,
13,,3GCUYHED7MG280845,,
14,,1GCPYFED1MZ244084,,
15,,3GCPYFED0MG118606,,
16,,1GCPYFED9MZ378082,,
17,,1GCPYFEL9MZ243305,,
18,,1GCUYDED2MZ408210,,
19,,1GCUYDED9NZ117480,,
20,,1GCUYEED6MZ414419,,